title,url,category,filetype,slide_count,publishing_consultancy,description
"Strategic Planning: Hoshin Kanri &#40;Hoshin Planning&#41;",https://flevy.com/browse/marketplace/strategic-planning-hoshin-kanri-hoshin-planning-155,"Operational Excellence",PowerPoint,153,"Operational Excellence Consulting","Developed by a seasoned Management Consultant &#40;ex-Microsoft and IBM&#41;, this presentation is your key to gaining a competitive advantage through hoshin kanri."
"Cost Reduction Opportunities (across Value Chain)",https://flevy.com/browse/marketplace/cost-reduction-opportunities-across-value-chain-204,"Operational Excellence",PowerPoint,24,"LearnPPT Consulting","This Cost Reduction framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It identifies over 45+ Cost Reduction initiatives mapped to the Michael Porter Value Chain."
"Storyboarding and Presentation Writing",https://flevy.com/browse/flevypro/storyboarding-and-presentation-writing-1693,"Operational Excellence",PowerPoint,33,"LearnPPT Consulting","Master effective presentation development with this framework by ex-McKinsey & Big 4 consultants. Learn storyboarding, pyramid logic, and clear communication."
"Objectives and Key Results (OKR)",https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,"Operational Excellence",PowerPoint,23,"LearnPPT Consulting","OKR template PowerPoint (PPT): Download ready-to-use Objectives and Key Results slides to plan, track, and present your OKRs effectively. Perfect for training and presentations."
"Cost Reduction Methodologies",https://flevy.com/browse/marketplace/cost-reduction-methodologies-93,"Operational Excellence",PowerPoint,33,marcus,"Developed by an ex-McKinsey and EY consultant, this presentation breaks down several cost reduction methodologies commonly used by management consulting firms."
"One-Page Project Management Processes",https://flevy.com/browse/marketplace/one-page-project-management-processes-6212,"Operational Excellence",PDF,1,"RadVector  Consulting","Developed by a team of experts with global consulting experience at McKinsey, Deloitte, and  Capgemini. This Project Management flowchart is based on the PMBOK Guide (6th Edition)."
"Strategic Planning - Hoshin Policy Deployment",https://flevy.com/browse/marketplace/strategic-planning-hoshin-policy-deployment-597,"Operational Excellence",PowerPoint,138,"Operational Excellence Consulting LLC","Developed by a Senior Executive and Operational Excellence Coach with experience at organizations including NOKIA, MICROVENTION, and MAGELLAN, this is a presentation and suite of supporting templates to implement Hoshin Policy Deployment."
"Structured Thinking 101: Clarity Through Storylines",https://flevy.com/browse/marketplace/structured-thinking-101-clarity-through-storylines-196,"Operational Excellence",PowerPoint,39,"Clarity First ","McKinsey 3 years on staff, 15 years freelance trainer & coach | Barbara Minto Approved | BCG training designer | Coaches at FX10 and ASX 10 | Startup founder | Author | C-suite Coach."
"Business Process Master List &#40;BPML&#41; Template",https://flevy.com/browse/marketplace/business-process-master-list-bpml-template-80,"Operational Excellence",Excel,,giovanni,"Developed by an ex-Big 4 management consultant with 10 years of experience, this BPML template is a scrubbed version of actual deliverables for Fortune 500 companies across multiple industries."
"Project Prioritization Tool",https://flevy.com/browse/marketplace/project-prioritization-tool-260,"Operational Excellence",Excel,,"Demand Metric","Priority template Excel: Download the Project Prioritization Tool (XLSX) with matrix and scoring templates to rank and manage projects effectively. Get yours now."
Kaizen,https://flevy.com/browse/marketplace/kaizen-153,"Operational Excellence",PowerPoint,254,"Operational Excellence Consulting","Developed by a Certified Lean Six Sigma Black Belt with a proven track record at Microsoft and IBM, this comprehensive presentation is your pathway to elevating continuous improvement for success. Users include Apple & Bayer."
"Insurance Company Business Capability Model",https://flevy.com/browse/marketplace/insurance-company-business-capability-model-3610,"Operational Excellence",PDF,1,"R Bradley Consulting","Insurance business capability model PDF: Download a detailed property & casualty insurance business capabilities map and architecture framework. Get your template now."
"Balanced Scorecard",https://flevy.com/browse/marketplace/balanced-scorecard-134,"Operational Excellence",PowerPoint,34,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation explains Kaplan and Norton's Balanced Scorecard, a classic framework on strategic management."
"Complete Guide to Post-merger Integration &#40;PMI&#41;",https://flevy.com/browse/marketplace/complete-guide-to-post-merger-integration-pmi-9276,"Operational Excellence",PowerPoint,106,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and details a robust framework to managing the complete Post-merger Integration process."
"End-to-end (E2E) Operating Model Transformation",https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,"Operational Excellence",PowerPoint,30,"LearnPPT Consulting","Transform your organization's E2E Operating Model with insights from ex-McKinsey & Big 4 consultants. Enhance efficiency, reduce costs, and improve customer service."
"KPI Compilation: 800+ Corporate Strategy KPIs",https://flevy.com/browse/marketplace/kpi-compilation-800-corporate-strategy-kpis-7847,"Operational Excellence",PowerPoint,186,"LearnPPT Consulting","This collection of Strategy KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Corporate Strategy and Strategic Management."
"Key Performance Indicators (KPIs): Best Practices",https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,"Operational Excellence",PowerPoint,21,"LearnPPT Consulting","Explore best practices for KPIs developed by ex-McKinsey & Big 4 consultants. Enhance performance alignment and value creation with actionable insights."
"Business Process Improvement &#40;BPI 7&#41;",https://flevy.com/browse/marketplace/business-process-improvement-bpi-7-601,"Operational Excellence",PowerPoint,139,"Operational Excellence Consulting LLC","Developed by a Senior Executive and Operational Excellence Coach with experience at organizations including NOKIA, MICROVENTION, and MAGELLAN, this is a presentation on the BPI 7 methodology for business process management/improvement."
"Process Map Series: Hire to Retire",https://flevy.com/browse/marketplace/process-map-series-hire-to-retire-1531,"Operational Excellence",PowerPoint,13,BusinessRules,"This presentation, created by a former Ernst & Young management consultant whose global clients include Bridgewater and Fannie Mae, depicts the Hire to Retire (H2R) process.."
"Templates for Hoshin Kanri Strategy Deployment",https://flevy.com/browse/marketplace/templates-for-hoshin-kanri-strategy-deployment-1227,"Operational Excellence",Excel,,"Operational Excellence Consulting","Developed by a seasoned Strategy Consultant with a wealth of experience at industry giants like Microsoft, IBM & Panasonic, these templates serve as your essential tools for Hoshin Deployment, empowering effective strategic planning."
"Supply Chain Management - Sales and Operations Planning (S&OP) Improvement",https://flevy.com/browse/flevypro/supply-chain-management-sales-and-operations-planning-sandop-improvement-2953,"Operational Excellence",PowerPoint,27,"LearnPPT Consulting","Sales and Operations Planning (S&OP) PPT: Learn the S&OP process, improve supply chain management, and get a ready-to-use presentation template. Download now."
"ISO 9001:2015 &#40;QMS&#41; Awareness Training",https://flevy.com/browse/marketplace/iso-90012015-qms-awareness-training-149,"Operational Excellence",PowerPoint,85,"Operational Excellence Consulting","Developed by an ex-ISO Management System Lead Auditor with global experience at industry giants like Microsoft & Underwriters Laboratories, this presentation is tailored to raise ISO 9001 awareness and enhancing customer satisfaction."
"OGSM &#40;Objectives, Goals, Strategies, and Measures&#41;",https://flevy.com/browse/flevypro/ogsm-objectives-goals-strategies-and-measures-8774,"Operational Excellence",PowerPoint,33,"LearnPPT Consulting","OGSM (Objectives, Goals, Strategies, and Measures) PPT template for strategic planning. Get a clear framework to set goals, define strategies, and track measures. Download now."
"Total Productive Maintenance &#40;TPM&#41;",https://flevy.com/browse/marketplace/total-productive-maintenance-tpm-158,"Operational Excellence",PowerPoint,234,"Operational Excellence Consulting","Developed by a renowned JIPM-certified TPM Instructor with extensive experience at industry leaders like Continental and Micron, this comprehensive presentation is your key to successful and streamlined TPM implementation."
"Organizational Velocity - Improving Speed, Efficiency & Effectiveness of Business",https://flevy.com/browse/marketplace/organizational-velocity-improving-speed-efficiency-and-effectiveness-of-business-482,"Operational Excellence",PowerPoint,47,STRATICX,"Enhance your organization's efficiency with this expert framework for process audits and workload analysis. Created by industry veterans, it identifies key improvement initiatives."
"8D Problem Solving Process & Tools",https://flevy.com/browse/marketplace/8d-problem-solving-process-and-tools-568,"Operational Excellence",PowerPoint,206,"Operational Excellence Consulting LLC","Developed by a Senior Executive and Operational Excellence Coach with experience at organizations including NOKIA, MICROVENTION, and MAGELLAN, this is a presentation and supporting templates to teach the 8D Problem Solving Process."
"Lean Manufacturing",https://flevy.com/browse/marketplace/lean-manufacturing-160,"Operational Excellence",PowerPoint,167,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Manufacturing."
"Manufacturing Company - 10 Year Financial Model",https://flevy.com/browse/marketplace/manufacturing-company-10-year-financial-model-5686,"Operational Excellence",Excel,,"Profit Vision","This financial model is built by a certified Financial Modeling & Valuation Analyst with over 20+ years of global experience managing over $500MM+ in corporate finances."
"Structured Communication, Presentation Development, and Storyboarding",https://flevy.com/browse/marketplace/structured-communication-presentation-development-and-storyboarding-96,"Operational Excellence",PowerPoint,40,"Process Consulting","Enhance your presentations with structured communication and storyboarding techniques. Created by industry experts, this guide employs the Pyramid Principle and MECE framework."
"Business Continuity Plan &#40;BCP&#41; Template",https://flevy.com/browse/marketplace/business-continuity-plan-bcp-template-1494,"Operational Excellence",Word,20,"Boris Agranovich","Based on work with Citibank, Bank of Tokyo Mitsubishi, and Capgemini, this template is developed by a Global Risk Leader and founder of the world's largest Risk Management community. SOX, ITIL, FFIEC, BS25999, ISO 17799/27001 compliant."
